Kód;Správny názov z MKCH 10
A00.-;Cholera
A00.0;Cholera zapríčinená Vibrio cholerae 01, biovar cholerae
A00.1;Cholera zapríčinená Vibrio cholerae 01, biovar eltor
A00.9;Cholera, bližšie neurčená
A01.-;Brušný týfus a paratýfus
A01.0;Brušný týfus
A01.1;Paratýfus A
A01.2;Paratýfus B
A01.3;Paratýfus C
A01.4;Paratýfus, bližšie neurčený
A02.-;Iné salmonelové infekcie
A02.0;Salmonelová enteritída
A02.1;Salmonelová sepsa
A02.2;Lokalizovaná salmonelová infekcia
A02.8;Iná salmonelová infekcia, bližšie určená
A02.9;Salmonelová infekcia, bližšie neurčená
A03.-;Šigelóza [baktériová červienka, dyzentéria]
A03.0;Šigelóza zapríčinená Shigella dysenteriae
A03.1;Šigelóza zapríčinená Shigella flexneri
A03.2;Šigelóza zapríčinená Shigella boydii
A03.3;Šigelóza zapríčinená Shigella sonnei
A03.8;Iná šigelóza
A03.9;Šigelóza, bližšie neurčená
A04.-;Iné baktériové črevné infekcie
A04.0;Infekcia zapríčinená enteropatogénnou Escherichia coli
A04.1;Infekcia zapríčinená enterotoxikogénnou Escherichia coli
A04.2;Infekcia zapríčinená enteroinvazívnou Escherichia coli
A04.3;Infekcia zapríčinená enterohemoragickou Escherichia coli
A04.4;Iné črevné infekcie zapríčinené Escherichia coli
A04.5;Enteritída zapríčinená kampylobakterom
A04.6;Enteritída zapríčinená Yersinia enterocolitica
A04.7;Enterokolitída zapríčinená Clostridium difficile
A04.8-;Iná baktériová črevná infekcia, bližšie určená
A04.9;Baktériová črevná infekcia, bližšie neurčená
A05.-;Iná baktériová potravinová otrava, nezatriedená inde
A05.0;Potravinová otrava zapríčinená stafylokokmi
A05.1;Botulizmus
A05.2;Potravinová otrava zapríčinená Clostridium perfringens (Clostridium welchii)
A05.3;Potravinová otrava zapríčinená Vibrio parahaemolyticus
A05.4;Potravinová otrava zapríčinená Bacillus cereus
A05.8;Iná bližšie určená baktériová potravinová otrava
A05.9;Bližšie neurčená baktériová potravinová otrava
A06.-;Amébová červienka - amebóza
A06.0;Akútna amébová dyzentéria
A06.1;Chronická črevná amebóza
A06.2;Amébová nedyzenterická kolitída
A06.3;Črevný amebóm
A06.4;Amébový absces pečene
A06.5†;Amébový absces pľúc (J99.8*)
A06.6†;Amébový absces mozgu (G07*)
A06.7;Kožná amebóza
A06.8;Amébová infekcia na iných miestach
A06.9;Bližšie neurčená amebóza
A07.-;Iné protozoárne črevné choroby
A07.0;Balantidióza
A07.1;Giardióza [lambliáza]
A07.2;Kryptosporidióza
A07.3;Izosporióza
A08.-;Vírusové a iné, bližšie určené črevné infekcie
A08.0;Rotavírusová enteritída
A08.1;Akútna gastroenteritída zapríčinená norovírusom [Norwalk]
A08.2;Adenovírusová enteritída
A08.3;Iná vírusová enteritída
A08.4;Vírusová črevná infekcia, bližšie neurčená
A08.5;Iné, bližšie určené črevné infekcie
A09.-;Iná gastroenteritída a kolitída infekčného a bližšie neurčeného pôvodu
A09.0;Iná a bližšie neurčená gastroenteritída a kolitída infekčného pôvodu
A09.9;Iná a bližšie neurčená gastroenteritída a kolitída bližšie neurčeného pôvodu
A15.-;Tuberkulóza dýchacej sústavy bakteriologicky, molekulovobiologicky alebo histologicky potvrdená
A15.0;Tuberkulóza pľúc, potvrdená mikroskopickým vyšetrením spúta s dôkazom, alebo bez dôkazu kultivačne alebo molekulovobiologicky
A15.1;Tuberkulóza pľúc, potvrdená len kultivačne
A15.2;Tuberkulóza pľúc, potvrdená histologicky
A15.3;Tuberkulóza pľúc, potvrdená inými a bližšie neurčenými metódami
A15.4;Tuberkulóza vnútrohrudníkových lymfatických uzlín, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky
A15.5;Tuberkulóza hrtana, priedušnice a priedušiek, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky
A15.6;Tuberkulózna pleuritída, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky
A15.7;Primárna tuberkulóza dýchacej sústavy, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky
A15.8;Iná tuberkulóza dýchacej sústavy, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky
A15.9;Tuberkulóza dýchacej sústavy, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky, bližšie neurčená
A16.-;Tuberkulóza dýchacej sústavy nepotvrdená bakteriologicky, molekulovobiologicky alebo histologicky
A16.0;Tuberkulóza pľúc bakteriologicky, molekulovobiologicky alebo histologicky negatívna
A16.1;Tuberkulóza pľúc, bez vykonania bakteriologického, molekulovobiologického a histologického vyšetrenia
