ATC;Kód;GP;Názov;Doplnok;Konečná c.;ŠDL;JD
B05BB01;34401;;0,9 % Chlorid sodný Baxter-Viaflo;sol inf 20x500 ml (vak POF/PA);23,29;100;ml
B05BB01;34400;;0,9 % Chlorid sodný Baxter-Viaflo;sol inf 30x250 ml (vak POF/PA);29,97;100;ml
B05BB01;34398;;0,9 % Chlorid sodný Baxter-Viaflo;sol inf 50x100 ml (vak POF/PA);44,41;100;ml
B05BB01;33605;;0,9% SODIUM CHL.IN W.F.I.FRESENIUS;sol inf 10x1000 ml (fľ.LDPE);13,3;100;ml
B05BB01;37752;;0,9% SODIUM CHL.IN W.F.I.FRESENIUS;sol inf 20x250 ml (fľ.LDPE);16,03;100;ml
B05BA03;33638;;10 % GLUCOSE IN WATER FOR INJECTION FRESENIUS;sol inf 10x500 ml (LDPE fľa.);11,07;100;ml
B05BA03;33623;;5 % GLUCOSE IN WATER FOR INJECTION FRESENIUS;sol inf 10x500 ml (LDPE fľa.);9,44;100;ml
J01MA03;94156;X;Abaktal 400 mg;tbl flm 10x400 mg (blis.);6,4;0,8;g
A10AE04;6173B;;ABASAGLAR 100 jednotiek/ml injekčný roztok naplnený v injekčnom pere;sol inj 10(2x5)x3 ml (pero napl.skl.- KwikPen-1-80 inj.jed.-multibal.);83,41;40;IU
L01FG01;7461D;;Abevmy 25 mg/ml infúzny koncentrát;con inf 1x16 ml/400 mg (liek.inj.skl.);723,07;5;mg/kg
L01FG01;7459D;;Abevmy 25 mg/ml infúzny koncentrát;con inf 1x4 ml/100 mg (liek.inj.skl.);190,1;5;mg/kg
L02BX03;8021D;X;Abiraterón Krka 500 mg filmom obalené tablety;tbl flm 60x500 mg (blis.PVC/PE/PVDC//papier/Al);1685,99;1;g
L02BX03;7951D;;Abiraterón Sandoz 1000 mg filmom obalené tablety;tbl flm 30x1000 mg (blis.Al/OPA/Al/PVC);1685,99;1;g
L02BX03;7942D;X;Abiraterón Sandoz 500 mg filmom obalené tablety;tbl flm 60x500 mg (blis.Al/PVC/PE/PVDC);1685,99;1;g
L02BX03;8645D;X;Abiraterón STADA 500 mg filmom obalené tablety;tbl flm 60x1x500 mg (blis.Al/PVC/PE/PVDC-jednotliv.dáv.);1685,99;1;g
L02BX03;7595D;X;Abiraterone Accord 500 mg filmom obalené tablety;tbl flm 60x1x500 mg (blis.PVC/PVDC/Al - jednotk.dávka);1685,99;1;g
L02BX03;8712D;X;Abiraterone G.L. Pharma 500 mg filmom obalené tablety;tbl flm 60x500 mg (blis.PVC/PVDC/Al);1685,99;1;g
L02BX03;8433D;X;Abiraterone Glenmark 500 mg;tbl flm 60x500 mg (blis.PVC/PVDC/Al - priehľadné);1685,99;1;g
L02BX03;9507D;X;Abiraterone Heaton 500 mg filmom obalené tablety;tbl flm 60x500 mg (blis.PVC/PVDC/Al);1685,99;1;g
L02BX03;8549D;X;Abiraterone Mylan 500 mg filmom obalené tablety;tbl flm 60x500 mg (blis.Al/PVC/PE/PVDC);1685,99;1;g
L02BX03;9158D;X;Abiraterone Zentiva;tbl flm 60x500 mg (blis.PVC/PVDC/Al);1685,99;1;g
L01CD01;47858;;Abraxane 5 mg/ml prášok na infúznu suspenziu;plv ins 1x100 mg (liek.inj.skl.);228,9;1;mg
M04AA03;4635C;X;Abuxar 80 mg filmom obalené tablety;tbl flm 28x80 mg (blis.PVC/PE/PVDC/Al);13,56;1;DF
N07BB03;2342B;X;Acamprosat Mylan 333 mg;tbl ent 84x333 mg (blis.PVC);14,42;2;g
V01AA03;6732B;;ACARIZAX 12 SQ-HDM;lyo por 30x12 SQ-HDM;81,56;1;DF
V01AA03;6733B;;ACARIZAX 12 SQ-HDM;lyo por 90x12 SQ-HDM;264,07;1;DF
R05CB01;88939;;ACC injekt;sol inj 5x3 ml/300 mg (amp.skl.);2,41;0,5;g
C08CA01;46761;X;ACCEL 10 mg;tbl 30x10 mg;2,64;5;mg
C08CA01;46759;X;ACCEL 5 mg;tbl 30x5 mg;1,29;5;mg
L03AA02;2233B;;Accofil 48 MU/0,5 ml injekčný alebo infúzny roztok v naplnenej injekčnej striekačke;sol ijf 5x0,5 ml (striek.inj.napl.skl.);111,82;0,35;mg
C09AA06;94958;X;ACCUPRO 5;tbl flm 30x5 mg (blis.Al/PA/Al/PVC);2,26;15;mg
C09BA06;27551;;ACCUZIDE 10;tbl flm 100x10 mg/12,5 mg (blis. PVC/PVDC/Al);12,68;1;DF
C09BA06;27549;;ACCUZIDE 10;tbl flm 30x10 mg/12,5 mg (blis. PVC/PVDC/Al);4,58;1;DF
C09BA06;64790;;ACCUZIDE 20;tbl flm 100x20 mg/12,5 mg (blis. PVC/PVDC/Al);18,42;1;DF
C09BA06;64788;;ACCUZIDE 20;tbl flm 30x20 mg/12,5 mg (blis. PVC/PVDC/Al);6,7;1;DF
M01AB16;10884;X;Aceclofenac Accord 100 mg filmom obalené tablety;tbl flm 30x100 mg (blis.Al/Al);2,47;200;mg
M01AB16;10886;X;Aceclofenac Accord 100 mg filmom obalené tablety;tbl flm 60x100 mg (blis.Al/Al);4,95;200;mg
B03BB01;15284;X;Acidum folicum Léčiva;tbl obd 30x10 mg (blis. PVC/Al);4,19;10;mg
M05BA08;90197;;Aclasta 5 mg infúzny roztok;sol inf 1x100 ml/5 mg (fľ.plast.);107,25;5;mg
M01AH01;7836A;X;Aclexa 100 mg tvrdé kapsuly;cps dur 30x100 mg (blis.PVC/Al);8,96;0,2;g
M01AH01;7843A;X;Aclexa 200 mg tvrdé kapsuly;cps dur 20x200 mg (blis.PVC/Al);6,99;0,2;g
M01AH01;7848A;X;Aclexa 200 mg tvrdé kapsuly;cps dur 90x200 mg (blis.PVC/Al);25,96;0,2;g
D10AF51;8009A;;Acnatac 10 mg/g+0,25 mg/g gél;gel 1x30 g (tuba Al);18,47;1;g
